code,name,unit,format,remark,type,source,normalization
FoderDim,Dimension casing tube (Dy/Di),mm,Figure,,,sgf,
FoderDj,"Length, casing tube",m,Figure,,,sgf,
H2OJobb,Job on pontoon,,Text,Yes/No,,sgf,
HH,Distance to the right,m,Figure,,,sgf,
HJ,Work or project number,,Figure,,,sgf,
HK,Investigation point,,Figure,,,sgf,
HL,Section,m,,,,sgf,
HM,Method code,figure,see Method codes,,,sgf,
HN,Serial number measurement probe,,Figure,,,sgf,
HO,Pre-drilling depth,m,Figure,,,sgf,
HQ,Signature,,Text,,,sgf,
HV,Distance to the left,m,Figure,,,sgf,
HX,X-coordinate,m,Figure,,,sgf,
HY,Y-coordinate,m,Figure,,,sgf,
HZ,Z-coordinate,m,Figure,,,sgf,
InMatn,Surveying in reverse order,,Text,Yes/No,,sgf,
KD,Date,,figure (YYYYMMDD),,date,sgf,
KP,Project name,,Text,,,sgf,
Person,Responsible drilling operator or measurement operator,,Text,,,sgf,
RefDatum,Date Reference measurement,,figure (YYYYMMDD),,date,sgf,
RefMatn,Reference measurement,,Text,,,sgf,
Rigg,Type of drilling rig,,Text,,,sgf,
HA,Löpnummer Huvud,,,,,geotechab,
HB,Löpnummer Sondering,,,,,geotechab,
HC,Använd programvara,,,,,geotechab,
HD,Datum för undersökning,,,,date,geotechab,RefDatum
HG,Grundvattennivå,,,,,geotechab,
KQ,"Skalfaktor, spetstryck",,,,,geotechab,
KF,"Skalfaktor, lokal friktion",,,,,geotechab,
KU,"Skalfaktor, portryck",,,,,geotechab,
CA,"Skalfaktor, elektrisk konduktivitet",,,,,geotechab,
CB,"Inverteringsfaktor, konduktivitet",,,,,geotechab,
MA,Spetsareafaktor a,,,,,geotechab,
MB,Mantelareafaktor b,,,,,geotechab,
MC,"Spetsarea, sond",,,,,geotechab,
MD,"Friktionsarea, sond",,,,,geotechab,
MF,Jorddensitet,,,,,geotechab,
ZTE,Tid nollinläsning före sondering (Nova-sond),,,,,geotechab,
EZTE,Tid nollinläsning efter sondering (Nova-sond),,,,,geotechab,
CSN,Serienummer CPT-sond,,,,,geotechab,
